user,item
11,5952
11,7153
11,4993
11,2571
11,59315
11,4306
11,4226
11,8961
11,48394
11,1196
14,914
14,1271
14,1022
14,2080
14,1029
14,1088
14,2161
14,2005
14,1947
14,3072
18,64575
18,63876
18,63082
18,60950
18,65130
18,64622
18,59118
18,60943
18,69604
18,59018
25,2700
25,1732
25,2502
25,1653
25,1641
25,3751
25,1288
25,3147
25,4034
25,2692
31,53464
31,56775
31,51077
31,6564
31,58025
31,33615
31,34150
31,42738
31,8972
31,6541
35,56757
35,45720
35,52975
35,56367
35,46976
35,50872
35,47099
35,48394
35,52973
35,47610
43,5989
43,364
43,2997
43,1961
43,1265
43,2396
43,46578
43,1073
43,1097
43,6711
50,1391
50,3751
50,920
50,1653
50,2700
50,1641
50,1380
50,923
50,4886
50,1732
58,1344
58,3168
58,1945
58,1283
58,3683
58,1284
58,2728
58,3735
58,1103
58,1245
60,45722
60,53125
60,40815
60,54001
60,4896
60,8368
60,5816
60,41566
60,69844
60,50872
61,48082
61,48385
61,8910
61,48043
61,8807
61,46723
61,27904
61,45728
61,35836
61,46578
65,63876
65,56367
65,48082
65,7147
65,46578
65,7323
65,69757
65,63082
65,55280
65,6711
72,2302
72,2321
72,1639
72,1278
72,1358
72,1094
72,1090
72,2194
72,2353
72,2712
77,5952
77,7153
77,4993
77,1196
77,1136
77,260
77,1080
77,2571
77,1200
77,1210
82,64614
82,68157
82,74458
82,64839
82,68237
82,63082
82,67255
82,80463
82,81845
82,82459
85,4306
85,6377
85,4886
85,17
85,7669
85,88125
85,919
85,3578
85,1246
85,81845
90,3948
90,8644
90,5299
90,35836
90,5502
90,919
90,586
90,3408
90,6863
90,41569
91,39183
91,30822
91,36517
91,8966
91,33166
91,40819
91,34072
91,27808
91,8981
91,32598
96,112556
96,109374
96,112852
96,111759
96,106920
96,109487
96,106782
96,116797
96,105504
96,106916
98,54001
98,69844
98,40815
98,8368
98,81834
98,88125
98,4896
98,5816
98,87232
98,98809
99,4011
99,60069
99,8874
99,4878
99,48394
99,68157
99,70286
99,32587
99,2542
99,59315
102,910
102,899
102,953
102,3088
102,954
102,916
102,1293
102,909
102,1219
102,3365
116,1927
116,4238
116,2505
116,3173
116,6787
116,1200
116,1214
116,8810
116,3841
116,8968
121,67087
121,69122
121,63131
121,58998
121,6188
121,54503
121,8641
